GeneID	GSM2476152	GSM2476153	GSM2476154	GSM2476155	GSM2476156	GSM2476157	GSM2476158	GSM2476159	GSM2476160	GSM2476161	GSM2476162
8843	0.1263	0.07297	0.02126	0.04299	0	0.04163	0.2093	0.3792	0.1499	0.1132	0.0104
27198	0.009072	0.1303	0.02292	0.681	0.4353	2.665	0.3204	4.042	0.6972	0.2308	0.305
8562	61.86	28.72	36.57	52.23	43.66	42.27	41.72	26.02	45.52	26.23	24.18
84660	0.1945	0.02471	0.04536	0.09679	0.0655	0.09867	0.0397	0.02996	0.03554	0.06343	0.04439
9026	1.847	2.702	2.756	9.057	4.999	4.777	4.956	3.42	4.148	4.12	4.476
79720	8.137	2.999	10.39	10.11	14.91	11.34	6.411	5.709	5.733	5.985	6.828
23457	0.9016	0.3254	0.9823	1.078	1.519	0.6214	0.5987	1.176	0.8639	1.473	1.212
79676	6.106	3.578	5.838	6.212	3.657	4.168	3.313	7.044	6.438	4.122	3.989
51329	61.57	40.6	38.33	62.87	56.3	53.81	58.64	57.08	75.6	48.91	47.55
57605	1.918	1.125	3.276	3.539	2.907	1.285	2.359	2.622	2.564	0.8685	1.929
100422931	0	0	0	0	0	0	0.3471	0	0	0	0
100507091	0	0	0	0	0	0	0	0	0	0	0
10198	5.01	1.579	2.667	2.711	4.896	3.669	3.192	3.756	5.362	3.222	3.872
91574	4.477	3.313	2.648	6.607	5.618	4.563	6.239	4.693	8.418	5.227	5.453
8099	58.95	32.26	42.72	63.83	40.39	21.42	70.5	52.23	47.72	65.47	52.76
55206	8.342	3.478	5.37	7.253	7.668	5.787	5.074	5.365	7.117	5.068	5.531
102466877	7.301	3.215	4.098	4.419	6.829	6.419	6.994	8.392	4.404	3.174	5.883
112268105	0.8764	1.645	0.4661	0.7066	1.258	0.9124	0.6424	0.785	3.568	3.79	2.6
387893	20.22	9.395	12.81	13.29	17.74	17.13	10.74	11.71	14.78	9.175	13.02
196383	5.212	3.105	4.711	4.167	4.155	5.756	6.958	8.71	11.9	5.429	4.285
11066	2.052	1.399	2.166	2.672	2.655	1.536	1.405	1.854	3.322	2.408	2.258
353116	2.238	1.767	2.25	3.143	1.311	1.031	1.575	2.798	4.049	3.098	2.83
100500909	0	0	0	0	0	0	0	0	0	0	0
101927415	0.1027	0.009254	0.1321	0.1717	0.2548	0.06467	0.1022	0.187	0.3993	0.09138	0.2309
10959	110.7	61.75	111.1	109.1	95.47	99.61	83.67	115.7	111.8	101.3	92.12
57696	7.142	3.672	3.763	7.225	6.978	5.309	4.753	3.917	4.684	2.656	2.431
105370041	1.838	0.9934	0.9569	1.783	1.576	1.414	1.182	1.022	1.285	0.6358	0.7161
109616977	0.6605	0.4908	0.1669	0.506	1.001	0.49	0.1643	0.1653	0.5042	0	0
1967	31.03	16.2	19.04	27.23	26.39	22.29	19.16	18.19	24.55	17.78	16.6
2967	24.43	9.773	11.36	17.66	17.21	15.05	12.73	14.51	15.26	11.96	12.1
79867	3.839	3.253	2.868	6.941	4.993	2.595	4.63	7.953	5.348	14.2	11.96
23545	7.275	3.803	3.344	4.447	5.041	3.357	2.162	2.66	4.186	2.494	2.305
